Evento_ID,Camara,Fecha,Hora,Tipo_Evento,Casco,Chaleco,Estado_EPP,Confianza_Evento,ID_Seguimiento_Temporal,Estado_Revision,Identificacion_Humana,Observaciones_Revision,Foto
EVT-0A0D22B948D04C4FA75FE94239B9099C,CAM_PUERTA01_ADM_CONCENTRADORA,2026-07-24,13:18:49.028,INCUMPLIMIENTO_EPP,NO,SI,Falta Casco,0.7,2,PENDIENTE,,,Evidencias\CAM_PUERTA01_ADM_CONCENTRADORA_INCUMPLIMIENTO_EPP_20260724_131849_016_39B9099C.jpg
EVT-522FF408B2E44A7C9564D1F49B43FC4A,CAM_PUERTA01_ADM_CONCENTRADORA,2026-07-24,13:20:32.435,INCUMPLIMIENTO_EPP,NO,NO,Sin Casco y Chaleco,1.0,3,PENDIENTE,,,Evidencias\CAM_PUERTA01_ADM_CONCENTRADORA_INCUMPLIMIENTO_EPP_20260724_132032_430_9B43FC4A.jpg
EVT-B7540B9D77F74DEDA99008B57E81B05B,CAM_PUERTA01_ADM_CONCENTRADORA,2026-07-24,13:25:04.934,INCUMPLIMIENTO_EPP,NO,SI,Falta Casco,0.7,5,PENDIENTE,,,Evidencias\CAM_PUERTA01_ADM_CONCENTRADORA_INCUMPLIMIENTO_EPP_20260724_132504_930_7E81B05B.jpg
EVT-151B4BD3696D4DD894F5BD647150D2F4,CAM_PUERTA01_ADM_CONCENTRADORA,2026-07-24,13:25:24.173,INCUMPLIMIENTO_EPP,NO,NO,Sin Casco y Chaleco,1.0,7,PENDIENTE,,,Evidencias\CAM_PUERTA01_ADM_CONCENTRADORA_INCUMPLIMIENTO_EPP_20260724_132524_168_7150D2F4.jpg
EVT-3BF9928979AD41989338DFC0096F7AEE,CAM_PUERTA01_ADM_CONCENTRADORA,2026-07-24,13:26:46.301,INCUMPLIMIENTO_EPP,NO,SI,Falta Casco,1.0,8,PENDIENTE,,,Evidencias\CAM_PUERTA01_ADM_CONCENTRADORA_INCUMPLIMIENTO_EPP_20260724_132646_296_096F7AEE.jpg
EVT-AED62891E64A4EA597365EE94990F37C,CAM_PUERTA01_ADM_CONCENTRADORA,2026-07-24,14:23:15.441,INCUMPLIMIENTO_EPP,NO,NO,Sin Casco y Chaleco,0.917,1,PENDIENTE,,,Evidencias\CAM_PUERTA01_ADM_CONCENTRADORA_INCUMPLIMIENTO_EPP_20260724_142315_436_4990F37C.jpg
EVT-4D2FDA81163647A59CE04BA28BBABACF,CAM_PUERTA01_ADM_CONCENTRADORA,2026-07-24,14:23:15.754,INCUMPLIMIENTO_EPP,SI,NO,Falta Chaleco,0.75,1,PENDIENTE,,,Evidencias\CAM_PUERTA01_ADM_CONCENTRADORA_INCUMPLIMIENTO_EPP_20260724_142315_754_8BBABACF.jpg
EVT-ED05E274ADFD40BAA2C4F2366BC159C3,CAM_PUERTA01_ADM_CONCENTRADORA,2026-07-24,14:24:14.449,INCUMPLIMIENTO_EPP,NO,SI,Falta Casco,0.667,2,PENDIENTE,,,Evidencias\CAM_PUERTA01_ADM_CONCENTRADORA_INCUMPLIMIENTO_EPP_20260724_142414_433_6BC159C3.jpg
EVT-9562B71FC5CB4EE1AB539CADC96F5FA2,CAM_PUERTA01_ADM_CONCENTRADORA,2026-07-24,14:24:17.283,INCUMPLIMIENTO_EPP,SI,NO,Falta Chaleco,0.7,2,PENDIENTE,,,Evidencias\CAM_PUERTA01_ADM_CONCENTRADORA_INCUMPLIMIENTO_EPP_20260724_142417_268_C96F5FA2.jpg
EVT-7CB73F3492AA45FBBEE7333F4D8D510E,CAM_PUERTA01_ADM_CONCENTRADORA,2026-07-24,14:30:07.793,INCUMPLIMIENTO_EPP,NO,NO,Sin Casco y Chaleco,1.0,1,PENDIENTE,,,Evidencias\CAM_PUERTA01_ADM_CONCENTRADORA_INCUMPLIMIENTO_EPP_20260724_143007_793_4D8D510E.jpg
EVT-AD26EBC539EA4F17B879EB15573E1369,CAM_PUERTA01_ADM_CONCENTRADORA,2026-07-24,14:30:56.015,INCUMPLIMIENTO_EPP,NO,NO,Sin Casco y Chaleco,1.0,3,PENDIENTE,,,Evidencias\CAM_PUERTA01_ADM_CONCENTRADORA_INCUMPLIMIENTO_EPP_20260724_143056_015_573E1369.jpg
EVT-7F53A32EF2894CE3BB1DF62984E59881,CAM_PUERTA01_ADM_CONCENTRADORA,2026-07-24,14:31:09.157,INCUMPLIMIENTO_EPP,NO,NO,Sin Casco y Chaleco,1.0,4,PENDIENTE,,,Evidencias\CAM_PUERTA01_ADM_CONCENTRADORA_INCUMPLIMIENTO_EPP_20260724_143109_157_84E59881.jpg
EVT-D830EF2C1DB844E0A2C1DBF1B9CB7CA2,CAM_PUERTA01_ADM_CONCENTRADORA,2026-07-24,14:31:42.789,INCUMPLIMIENTO_EPP,NO,NO,Sin Casco y Chaleco,1.0,5,PENDIENTE,,,Evidencias\CAM_PUERTA01_ADM_CONCENTRADORA_INCUMPLIMIENTO_EPP_20260724_143142_789_B9CB7CA2.jpg
